price,district,city,town,type,energy_certificate,total_area,parking,construction_year,elevator,total_rooms,living_area,number_of_bathrooms
223000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,81.0,1.0,,True,2.0,81.0,2.0
228000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,108.0,1.0,,True,2.0,108.0,2.0
250000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,114.0,1.0,,True,2.0,114.0,0.0
250000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,114.0,1.0,,True,2.0,114.0,2.0
250000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,115.0,1.0,,True,2.0,115.0,2.0
250000.0,Faro,Loulé,São Clemente,Apartment,C,85.0,0.0,2009.0,True,2.0,85.0,1.0
580000.0,Faro,Vila do Bispo,Budens,Apartment,D,84.0,1.0,2003.0,False,2.0,84.0,2.0
615000.0,Faro,Loulé,São Clemente,Apartment,D,218.0,2.0,1992.0,True,4.0,218.0,3.0
350000.0,Faro,Portimão,Portimão,Apartment,C,68.0,0.0,1985.0,True,2.0,68.0,1.0
175000.0,Faro,Faro,Faro (Sé e São Pedro),House,NC,78.0,0.0,1950.0,False,4.0,78.0,2.0
17000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B,70.0,1.0,1986.0,True,1.0,70.0,1.0
620000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,94.0,1.0,2022.0,True,2.0,74.0,2.0
595000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,80.0,1.0,2022.0,True,1.0,66.0,2.0
600000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,97.0,1.0,2022.0,True,1.0,79.0,2.0
435000.0,Faro,Loulé,São Clemente,House,D,226.0,2.0,1958.0,False,3.0,184.0,2.0
615000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,80.0,1.0,2022.0,True,1.0,66.0,2.0
159900.0,Faro,Portimão,Portimão,Apartment,D,55.0,0.0,1987.0,True,1.0,50.0,1.0
